Tipo,Modelo,Descrição Modelo,Acurária,Desvio
without,LR,LogisticRegression(),0.7349056603773585,0.05581842752480169
without,KNN,KNeighborsClassifier(),0.6828092243186583,0.05293006321541231
without,CART,DecisionTreeClassifier(),0.6568832983927323,0.07169160837564151
without,SVM,SVC(),0.7144654088050315,0.05799483010311813
without,RF,RandomForestClassifier(),0.7295248078266946,0.034295031981113076
Binarizer,LR,LogisticRegression(),0.4810272536687631,0.09554693091429708
Binarizer,KNN,KNeighborsClassifier(),0.5019217330538084,0.09013798109014971
Binarizer,CART,DecisionTreeClassifier(),0.44937106918238995,0.0751589220496664
Binarizer,SVM,SVC(),0.460482180293501,0.08652515495751228
Binarizer,RF,RandomForestClassifier(),0.44933612858141164,0.0772803634478419
MinMaxScaler,LR,LogisticRegression(),0.7574423480083857,0.051279138355638576
MinMaxScaler,KNN,KNeighborsClassifier(),0.6885394828791054,0.04480529599073056
MinMaxScaler,CART,DecisionTreeClassifier(),0.6455974842767296,0.07460551452672384
MinMaxScaler,SVM,SVC(),0.73319357092942,0.0538067557587846
MinMaxScaler,RF,RandomForestClassifier(),0.7556603773584906,0.04533805192170744
Normalizer,LR,LogisticRegression(),0.6268343815513626,0.0504595992812332
Normalizer,KNN,KNeighborsClassifier(),0.6360587002096436,0.06516777099270894
Normalizer,CART,DecisionTreeClassifier(),0.5561146051712089,0.054438577641358024
Normalizer,SVM,SVC(),0.6529699510831586,0.046867264847113344
Normalizer,RF,RandomForestClassifier(),0.6435010482180293,0.08253219206051815
StandardScaler,LR,LogisticRegression(),0.7554856743535988,0.04589812027203798
StandardScaler,KNN,KNeighborsClassifier(),0.6829839273235498,0.0523134547157182
StandardScaler,CART,DecisionTreeClassifier(),0.6716981132075472,0.06677498975147576
StandardScaler,SVM,SVC(),0.7554856743535989,0.05214111790103617
StandardScaler,RF,RandomForestClassifier(),0.7388888888888888,0.05199416194549902
