Modelo,Acurácia,Precisão,Recall,Specificity,F1 Score,Tempo em Segundo
SVM,0.9766816143497757,0.9733333333333334,1.0,0.8433734939759037,0.9864864864864865,0.14310935735702515
SVM Undersampling,0.9331103678929766,0.9225806451612903,0.9470198675496688,0.918918918918919,0.934640522875817,2.6024138927459717
SVM Oversampling,0.9953367875647668,0.9904862579281184,1.0,0.9909365558912386,0.9952203929899097,19.135352849960327
SVM Undersampling e validação cruzada,0.9698996655518395,0.94375,1.0,0.9391891891891891,0.9710610932475884,11.49793791770935
SVM Oversampling e validação cruzada,0.9974093264248705,0.994692144373673,1.0,0.9949647532729103,0.9973390101117616,162.78277778625488
